# coding: utf-8
# 小鹤音形用户词库（与系统词条重码时居后）
# 该文件以UTF-8编码保存
# 编码格式：字词+Tab符+编码（用户词库本身有重码则还需后面+Tab符+权重，权重大者居前，权重数字随意）
 
#    === 强调一下 === 
# 
#   词条和编码之间的不是空格，而是Tab符，如果你不知道，就复制下面编码中的空白处
#   或者按住键盘 G 键，切换到功能键盘，使用上面的Tab键
# 
#    ================
# 
# 如两个用户词重码，则需加权重排序，权重大者居前，如下：
#
# 同文	tw	90
# 提问	tw	30
#
# 如只加一个用户词，无需权重，如下（如想置于系统词“台湾”前，请把词条放到flypy_top文件内）：
# 
# 同文	tw
#    ================
#
# 虽然文本码表编辑较为方便，但不适合导入大量条目

#用户词库，下一行后开始添加。切换方案或部署后生效
# no comment
瘁	cvbu
apparition	apparition
appeal	appeal
appealing	appealing
appear	appear
appearance	appearance
appease	appease
appellant	appellant
appellation	appellation
append	append
appendage	appendage
appendectomy	appendectomy
appendicitis	appendicitis
appendix	appendix
appertain	appertain
appetite	appetite
appetizer	appetizer
appetizing	appetizing
applaud	applaud
applause	applause
apple	apple
appliance	appliance
applicable	applicable
applicant	applicant
application	application
applied	applied
applique	applique
apply	apply
appoint	appoint
appointee	appointee
appointment	appointment
apportion	apportion
apposite	apposite
apposition	apposition
appraisal	appraisal
appraise	appraise
appreciable	appreciable
appreciate	appreciate
appreciation	appreciation
appreciative	appreciative
apprehend	apprehend
apprehension	apprehension
apprehensive	apprehensive
apprentice	apprentice
apprenticeship	apprenticeship
apprise	apprise
approach	approach
approachable	approachable
approbation	approbation
appropriate	appropriate
appropriation	appropriation
approval	approval
approve	approve
approving	approving
approx	approx
approximate	approximate
approximation	approximation
appurtenance	appurtenance
APR	APR
apricot	apricot
April	April
apron	apron
apropos	apropos
apse	apse
apt	apt
aptitude	aptitude
aquamarine	aquamarine
aquaplane	aquaplane
aquarium	aquarium
Aquarius	Aquarius
aquatic	aquatic
aqueduct	aqueduct
aqueous	aqueous
aquifer	aquifer
aquiline	aquiline
Arab	Arab
arabesque	arabesque
Arabian	Arabian
Arabic	Arabic
arable	arable
arachnid	arachnid
arbiter	arbiter
arbitrage	arbitrage
arbitrary	arbitrary
arbitrate	arbitrate
arbitration	arbitration
arbitrator	arbitrator
arboreal	arboreal
arboretum	arboretum
arbour	arbour
arc	arc
arcade	arcade
arcane	arcane
arch	arch
archaeologist	archaeologist
archaeology	archaeology
archaic	archaic
archaism	archaism
archangel	archangel
archbishop	archbishop
archbishopric	archbishopric
archdeacon	archdeacon
archdiocese	archdiocese
archduchess	archduchess
archduke	archduke
archeologist	archeologist
archeology	archeology
archer	archer
archery	archery
archetypal	archetypal
archetype	archetype
archipelago	archipelago
architect	architect
architectural	architectural
architecture	architecture
architrave	architrave
archive	archive
archivist	archivist
archway	archway
Arctic	Arctic
ardent	ardent
ardour	ardour
arduous	arduous
are	are
area	area
arena	arena
argon	argon
argot	argot
arguable	arguable
arguably	arguably
argue	argue
argument	argument
argumentative	argumentative
aria	aria
arid	arid
Aries	Aries
aright	aright
arise	arise
aristocracy	aristocracy
aristocrat	aristocrat
aristocratic	aristocratic
arithmetic	arithmetic
arithmetical	arithmetical
ark	ark
arm	arm
armada	armada
armadillo	armadillo
Armageddon	Armageddon
armament	armament
armband	armband
armchair	armchair
armed	armed
armful	armful
armhole	armhole
armistice	armistice
armlock	armlock
armour	armour
armoured	armoured
armourer	armourer
armoury	armoury
armpit	armpit
armrest	armrest
arms	arms
army	army
aroma	aroma
aromatherapy	aromatherapy
aromatic	aromatic
arose	arose
around	around
arouse	arouse
arpeggio	arpeggio
arraign	arraign
arrange	arrange
arrangement	arrangement
arranger	arranger
arrant	arrant
array	array
arrayed	arrayed
arrears	arrears
arrest	arrest
arresting	arresting
arrival	arrival
arrive	arrive
arrogance	arrogance
arrogant	arrogant
arrogate	arrogate
arrow	arrow
arrowhead	arrowhead
arrowroot	arrowroot
arse	arse
arsehole	arsehole
arsenal	arsenal
arsenic	arsenic
arson	arson
arsonist	arsonist
art	art
artefact	artefact
arteriosclerosis	arteriosclerosis
artery	artery
artful	artful
arthritic	arthritic
arthritis	arthritis
artichoke	artichoke
article	article
articled	articled
articulate	articulate
articulated	articulated
articulation	articulation
artifact	artifact
artifice	artifice
artificial	artificial
artillery	artillery
artisan	artisan
artist	artist
artiste	artiste
artistic	artistic
artistry	artistry
artless	artless
artsy	artsy
artwork	artwork
arty	arty
arugula	arugula
Aryan	Aryan
as	as
ASA	ASA
asap	asap
asbestos	asbestos
asbestosis	asbestosis
ascend	ascend
ascendancy	ascendancy
ascendant	ascendant
ascension	ascension
ascent	ascent
ascertain	ascertain
ascetic	ascetic
ASCII	ASCII
ascot	ascot
ascribe	ascribe
ASEAN	ASEAN
aseptic	aseptic
asexual	asexual
ash	ash
ashamed	ashamed
ashen	ashen
ashore	ashore
ashram	ashram
ashtray	ashtray
Asian	Asian
Asiatic	Asiatic
aside	aside
asinine	asinine
ask	ask
askance	askance
askew	askew
asleep	asleep
asp	asp
asparagus	asparagus
aspect	aspect
aspen	aspen
asperity	asperity
aspersions	aspersions
asphalt	asphalt
asphyxia	asphyxia
asphyxiate	asphyxiate
aspic	aspic
aspidistra	aspidistra
aspirant	aspirant
aspirate	aspirate
aspiration	aspiration
aspire	aspire
aspirin	aspirin
aspiring	aspiring
ass	ass
assail	assail
assailant	assailant
assassin	assassin
assassinate	assassinate
assault	assault
assay	assay
assemblage	assemblage
assemble	assemble
assembly	assembly
assent	assent
assert	assert
assertion	assertion
assertive	assertive
assess	assess
assessment	assessment
assessor	assessor
asset	asset
asshole	asshole
assiduous	assiduous
assign	assign
assignation	assignation
assignment	assignment
assimilate	assimilate
assist	assist
assistance	assistance
assistant	assistant
assizes	assizes
associate	associate
associated	associated
association	association
assonance	assonance
assorted	assorted
assortment	assortment
Asst	Asst
assuage	assuage
assume	assume
assumed	assumed
assumption	assumption
assurance	assurance
assure	assure
assured	assured
assuredly	assuredly
aster	aster
asterisk	asterisk
astern	astern
asteroid	asteroid
asthma	asthma
asthmatic	asthmatic
astigmatism	astigmatism
astonish	astonish
astonished	astonished
astonishing	astonishing
astonishment	astonishment
astound	astound
astounded	astounded
astounding	astounding
astrakhan	astrakhan
astray	astray
astride	astride
astringent	astringent
astrologer	astrologer
astrology	astrology
astronaut	astronaut
astronomer	astronomer
astronomical	astronomical
astronomy	astronomy
astrophysics	astrophysics
AstroTurf	AstroTurf
astute	astute
asunder	asunder
asylum	asylum
asymmetric	asymmetric
at	at
atavistic	atavistic
ate	ate
atelier	atelier
atheism	atheism
atheist	atheist
athlete	athlete
athletic	athletic
athletics	athletics
atishoo	atishoo
atlas	atlas
ATM	ATM
atmosphere	atmosphere
atmospheric	atmospheric
atmospherics	atmospherics
atoll	atoll
atom	atom
atomic	atomic
atomize	atomize
atonal	atonal
atone	atone
atop	atop
atrium	atrium
atrocious	atrocious
atrocity	atrocity
atrophy	atrophy
attach	attach
attache	attache
attached	attached
attachment	attachment
attack	attack
attacker	attacker
attain	attain
attainable	attainable
attainment	attainment
attempt	attempt
attempted	attempted
attend	attend
attendance	attendance
attendant	attendant
attender	attender
attention	attention
attentive	attentive
attenuate	attenuate
attest	attest
attic	attic
attire	attire
attired	attired
attitude	attitude
attitudinal	attitudinal
attn	attn
attorney	attorney
attract	attract
attraction	attraction
attractive	attractive
attributable	attributable
attribute	attribute
attributive	attributive
attrition	attrition
attuned	attuned
ATV	ATV
atypical	atypical
aubergine	aubergine
auburn	auburn
auction	auction
auctioneer	auctioneer
audacious	audacious
audacity	audacity
audible	audible
audience	audience
audio	audio
audit	audit
audition	audition
auditor	auditor
auditorium	auditorium
auditory	auditory
aught	aught
augment	augment
augur	augur
augury	augury
August	August
august	august
auk	auk
aunt	aunt
auntie	auntie
aura	aura
aural	aural
aureole	aureole
auricle	auricle
auspices	auspices
auspicious	auspicious
Aussie	Aussie
austere	austere
austerity	austerity
Australian	Australian
authentic	authentic
authenticate	authenticate
authenticity	authenticity
author	author
authoress	authoress
authorial	authorial
authoring	authoring
authoritarian	authoritarian
authoritative	authoritative
authority	authority
authorization	authorization
authorize	authorize
authorship	authorship
autism	autism
auto	auto
autobiography	autobiography
autocracy	autocracy
autocrat	autocrat
Autocue	Autocue
autograph	autograph
autoimmune	autoimmune
automaker	automaker
automate	automate
automatic	automatic
automation	automation
automaton	automaton
automobile	automobile
automotive	automotive
autonomous	autonomous
autonomy	autonomy
autopilot	autopilot
autopsy	autopsy
autumn	autumn
autumnal	autumnal
auxiliary	auxiliary
AV	AV
avail	avail
available	available
avalanche	avalanche
avarice	avarice
avenge	avenge
avenue	avenue
aver	aver
average	average
averse	averse
aversion	aversion
avert	avert
aviary	aviary
aviation	aviation
aviator	aviator
avid	avid
avionics	avionics
avocado	avocado
avocet	avocet
avoid	avoid
