# coding: utf-8
# 小鹤音形用户词库（与系统词条重码时居后）
# 该文件以UTF-8编码保存
# 编码格式：字词+Tab符+编码（用户词库本身有重码则还需后面+Tab符+权重，权重大者居前，权重数字随意）
 
#    === 强调一下 === 
# 
#   词条和编码之间的不是空格，而是Tab符，如果你不知道，就复制下面编码中的空白处
#   或者按住键盘 G 键，切换到功能键盘，使用上面的Tab键
# 
#    ================
# 
# 如两个用户词重码，则需加权重排序，权重大者居前，如下：
#
# 同文	tw	90
# 提问	tw	30
#
# 如只加一个用户词，无需权重，如下（如想置于系统词“台湾”前，请把词条放到flypy_top文件内）：
# 
# 同文	tw
#    ================
#
# 虽然文本码表编辑较为方便，但不适合导入大量条目

#用户词库，下一行后开始添加。切换方案或部署后生效
# no comment
瘁	cvbu
takeaway	takeaway
takeover	takeover
taker	taker
takings	takings
tale	tale
talent	talent
talented	talented
talisman	talisman
talk	talk
talkative	talkative
talker	talker
talkie	talkie
tall	tall
tallboy	tallboy
tallow	tallow
tally	tally
Talmud	Talmud
talon	talon
tamarind	tamarind
tambour	tambour
tambourine	tambourine
tame	tame
tamer	tamer
Tamil	Tamil
tamp	tamp
tamper	tamper
tampon	tampon
tan	tan
tandem	tandem
tandoori	tandoori
tang	tang
tangent	tangent
tangential	tangential
tangerine	tangerine
tangible	tangible
tangle	tangle
tangled	tangled
tango	tango
tank	tank
tankard	tankard
tanker	tanker
tanned	tanned
tanner	tanner
tannery	tannery
tannin	tannin
Tannoy	Tannoy
tantalize	tantalize
tantamount	tantamount
tantrum	tantrum
Taoiseach	Taoiseach
tap	tap
tape	tape
taper	taper
tapestry	tapestry
tapeworm	tapeworm
tapioca	tapioca
tapir	tapir
taproot	taproot
tar	tar
taramasalata	taramasalata
tarantula	tarantula
tardy	tardy
tare	tare
target	target
tariff	tariff
Tarmac	Tarmac
tarmac	tarmac
tarn	tarn
tarnish	tarnish
tarot	tarot
tarp	tarp
tarpaulin	tarpaulin
tarragon	tarragon
tarry	tarry
tart	tart
tartan	tartan
tartar	tartar
tarty	tarty
task	task
taskmaster	taskmaster
tassel	tassel
tasselled	tasselled
taste	taste
tasteful	tasteful
tasteless	tasteless
taster	taster
tasting	tasting
tasty	tasty
tat	tat
tater	tater
tattered	tattered
tatters	tatters
tattie	tattie
tattle	tattle
tattletale	tattletale
tattoo	tattoo
tatty	tatty
taught	taught
taunt	taunt
taupe	taupe
Taurus	Taurus
taut	taut
tauten	tauten
tautology	tautology
tavern	tavern
tawdry	tawdry
tawny	tawny
tax	tax
taxable	taxable
taxation	taxation
taxi	taxi
taxidermist	taxidermist
taxidermy	taxidermy
taxing	taxing
taxiway	taxiway
taxman	taxman
taxonomist	taxonomist
taxonomy	taxonomy
taxpayer	taxpayer
TB	TB
tba	tba
tbs	tbs
tbsp	tbsp
TD	TD
te	te
tea	tea
teacake	teacake
teacart	teacart
teach	teach
teachable	teachable
teacher	teacher
teaching	teaching
teacup	teacup
teak	teak
teal	teal
team	team
teammate	teammate
teamster	teamster
teamwork	teamwork
teapot	teapot
tear	tear
tearaway	tearaway
teardrop	teardrop
tearful	tearful
tease	tease
teasel	teasel
teaser	teaser
teasingly	teasingly
teaspoon	teaspoon
teat	teat
teatime	teatime
teazle	teazle
tech	tech
techie	techie
technical	technical
technicality	technicality
technically	technically
technician	technician
Technicolor	Technicolor
technicolour	technicolour
technique	technique
techno	techno
technocracy	technocracy
technocrat	technocrat
technologist	technologist
technology	technology
technophobe	technophobe
tectonic	tectonic
tedious	tedious
tedium	tedium
tee	tee
teem	teem
teeming	teeming
teen	teen
teenage	teenage
teenaged	teenaged
teenager	teenager
teens	teens
teeny	teeny
teepee	teepee
teeter	teeter
teeth	teeth
teethe	teethe
teetotal	teetotal
teetotaller	teetotaller
TEFL	TEFL
Teflon	Teflon
telecast	telecast
telecommunications	telecommunications
teleconference	teleconference
telecottage	telecottage
telegenic	telegenic
telegram	telegram
telegraph	telegraph
telegraphic	telegraphic
telegraphy	telegraphy
telemarketing	telemarketing
telemetry	telemetry
teleology	teleology
telepathic	telepathic
telepathy	telepathy
telephone	telephone
telephonist	telephonist
telephony	telephony
teleprinter	teleprinter
teleprompter	teleprompter
telesales	telesales
telescope	telescope
telescopic	telescopic
teletext	teletext
telethon	telethon
teletypewriter	teletypewriter
televangelist	televangelist
televise	televise
television	television
teleworking	teleworking
telex	telex
tell	tell
teller	teller
telling	telling
telltale	telltale
telly	telly
temerity	temerity
temp	temp
temper	temper
tempera	tempera
temperament	temperament
temperamental	temperamental
temperance	temperance
temperate	temperate
temperature	temperature
tempest	tempest
tempestuous	tempestuous
template	template
temple	temple
tempo	tempo
temporal	temporal
temporary	temporary
temporize	temporize
tempt	tempt
temptation	temptation
tempter	tempter
tempting	tempting
temptress	temptress
ten	ten
tenable	tenable
tenacious	tenacious
tenancy	tenancy
tenant	tenant
tench	tench
tend	tend
tendency	tendency
tendentious	tendentious
tender	tender
tenderfoot	tenderfoot
tenderize	tenderize
tenderloin	tenderloin
tendon	tendon
tendril	tendril
tenement	tenement
tenet	tenet
tenfold	tenfold
tenner	tenner
tennis	tennis
tenon	tenon
tenor	tenor
tenpin	tenpin
tense	tense
tensile	tensile
tension	tension
tent	tent
tentacle	tentacle
tentative	tentative
tented	tented
tenterhooks	tenterhooks
tenth	tenth
tenuous	tenuous
tenure	tenure
tenured	tenured
tepee	tepee
tepid	tepid
tequila	tequila
tercentenary	tercentenary
term	term
terminal	terminal
terminate	terminate
termination	termination
terminology	terminology
terminus	terminus
termite	termite
termly	termly
terms	terms
tern	tern
terrace	terrace
terraced	terraced
terracing	terracing
terracotta	terracotta
terrain	terrain
terrapin	terrapin
terrestrial	terrestrial
terrible	terrible
terribly	terribly
terrier	terrier
terrific	terrific
terrifically	terrifically
terrified	terrified
terrify	terrify
terrine	terrine
Territorial	Territorial
territorial	territorial
territory	territory
terror	terror
terrorism	terrorism
terrorist	terrorist
terrorize	terrorize
terry	terry
terse	terse
tertiary	tertiary
Terylene	Terylene
TESL	TESL
TESOL	TESOL
tessellated	tessellated
test	test
testable	testable
testament	testament
tester	tester
testes	testes
testicle	testicle
testify	testify
testimonial	testimonial
testimony	testimony
testing	testing
testis	testis
testosterone	testosterone
testy	testy
tetanus	tetanus
tetchy	tetchy
tether	tether
Teutonic	Teutonic
text	text
textbook	textbook
textile	textile
textual	textual
textural	textural
texture	texture
textured	textured
thalidomide	thalidomide
than	than
thank	thank
thankful	thankful
thankfully	thankfully
thankless	thankless
thanks	thanks
thanksgiving	thanksgiving
that	that
thatch	thatch
thatcher	thatcher
thaw	thaw
the	the
theater	theater
theatre	theatre
theatregoer	theatregoer
theatrical	theatrical
theatricality	theatricality
theatricals	theatricals
thee	thee
theft	theft
their	their
theirs	theirs
theism	theism
them	them
thematic	thematic
theme	theme
themed	themed
themselves	themselves
then	then
thence	thence
thenceforth	thenceforth
theocracy	theocracy
theodolite	theodolite
theologian	theologian
theology	theology
theorem	theorem
theoretical	theoretical
theorist	theorist
theorize	theorize
theory	theory
theosophy	theosophy
therapeutic	therapeutic
therapeutics	therapeutics
therapist	therapist
therapy	therapy
there	there
thereabouts	thereabouts
thereafter	thereafter
thereby	thereby
therefore	therefore
therefrom	therefrom
therein	therein
thereof	thereof
thereon	thereon
thereto	thereto
thereunder	thereunder
thereupon	thereupon
therm	therm
thermal	thermal
thermodynamics	thermodynamics
thermometer	thermometer
thermonuclear	thermonuclear
thermoplastic	thermoplastic
Thermos	Thermos
thermostat	thermostat
thesaurus	thesaurus
these	these
thesis	thesis
thespian	thespian
they	they
thick	thick
thicken	thicken
thickener	thickener
thicket	thicket
thickheaded	thickheaded
thickly	thickly
thickness	thickness
thickset	thickset
thief	thief
thieving	thieving
thigh	thigh
thimble	thimble
thimbleful	thimbleful
thin	thin
thine	thine
thing	thing
thingummy	thingummy
thingy	thingy
think	think
thinkable	thinkable
thinker	thinker
thinking	thinking
thinly	thinly
thinner	thinner
third	third
thirdly	thirdly
thirst	thirst
thirsty	thirsty
thirteen	thirteen
thirty	thirty
this	this
thistle	thistle
thistledown	thistledown
thither	thither
thong	thong
thorax	thorax
thorn	thorn
thorny	thorny
thorough	thorough
thoroughbred	thoroughbred
thoroughfare	thoroughfare
thoroughgoing	thoroughgoing
thoroughly	thoroughly
those	those
thou	thou
though	though
thought	thought
thoughtful	thoughtful
thoughtless	thoughtless
thousand	thousand
thousandth	thousandth
thrall	thrall
thrash	thrash
thrashing	thrashing
thread	thread
threadbare	threadbare
threaded	threaded
threadworm	threadworm
threat	threat
threaten	threaten
threatening	threatening
three	three
threefold	threefold
threepence	threepence
threesome	threesome
thresh	thresh
threshold	threshold
threw	threw
thrice	thrice
thrift	thrift
thrifty	thrifty
thrill	thrill
thrilled	thrilled
thriller	thriller
thrilling	thrilling
thrive	thrive
throat	throat
throaty	throaty
throb	throb
throes	throes
thrombosis	thrombosis
throne	throne
throng	throng
throttle	throttle
through	through
throughout	throughout
throughput	throughput
throw	throw
throwaway	throwaway
throwback	throwback
thrower	thrower
thru	thru
thrush	thrush
thrust	thrust
thruster	thruster
thruway	thruway
thud	thud
thug	thug
thuggery	thuggery
thumb	thumb
thumbnail	thumbnail
thumbprint	thumbprint
thumbscrew	thumbscrew
thumbtack	thumbtack
thump	thump
thumping	thumping
thunder
thunderbolt	thunderbolt
thunderclap	thunderclap
thundercloud	thundercloud
thunderous	thunderous
thunderstorm	thunderstorm
thunderstruck	thunderstruck
thundery	thundery
Thursday	Thursday
thus	thus
thwack	thwack
thwart	thwart
thy	thy
thyme	thyme
thyroid	thyroid
thyself	thyself
ti	ti
tiara	tiara
tibia	tibia
tic	tic
tick	tick
ticker	ticker
ticket	ticket
ticketing	ticketing
ticking	ticking
tickle	tickle
ticklish	ticklish
tidal	tidal
tidbit	tidbit
tiddler	tiddler
tiddly	tiddly
tiddlywinks	tiddlywinks
tide	tide
tidemark	tidemark
tidewater	tidewater
tidings	tidings
tidy	tidy
tie	tie
tiebreak	tiebreak
tiebreaker	tiebreaker
tied	tied
tiepin	tiepin
tier	tier
tiered	tiered
tiff	tiff
tig	tig
tiger	tiger
tigerish	tigerish
tight	tight
tighten	tighten
tightly	tightly
tightrope	tightrope
tights	tights
tightwad	tightwad
tigress	tigress
tike	tike
til	til
tilde	tilde
tile	tile
tiling	tiling
till	till
tillage	tillage
tiller	tiller
tilt	tilt
timber	timber
timbered	timbered
timbre	timbre
time	time
timekeeper	timekeeper
timekeeping	timekeeping
timeless	timeless
timely	timely
timeout	timeout
timepiece	timepiece
timer	timer
times	times
timescale	timescale
timeshare	timeshare
timetable	timetable
timid	timid
timing	timing
timorous	timorous
timpani	timpani
tin	tin
tincture	tincture
tinder	tinder
tinderbox	tinderbox
tine	tine
tinfoil	tinfoil
tinge	tinge
tingle	tingle
tinker	tinker
tinkle	tinkle
tinned	tinned
tinnitus	tinnitus
tinny	tinny
tinplate	tinplate
tinpot	tinpot
tinsel	tinsel
Tinseltown	Tinseltown
tint	tint
tiny	tiny
tip	tip
tippet	tippet
tipple	tipple
tipster	tipster
tipsy	tipsy
tiptoe	tiptoe
tirade	tirade
tire	tire
tired	tired
tireless	tireless
tiresome	tiresome
tiring	tiring
tissue	tissue
tit	tit
Titan	Titan
titanic	titanic
titanium	titanium
titbit	titbit
titch	titch
titchy	titchy
tithe	tithe
titillate	titillate
title	title
titled	titled
titter	titter
titty	titty
titular	titular
tizzy	tizzy
TLC	TLC
TM	TM
TNT	TNT
to	to
toad	toad
toadstool	toadstool
toady	toady
toast	toast
toaster	toaster
toastmaster	toastmaster
toasty	toasty
tobacco	tobacco
tobacconist	tobacconist
toboggan	toboggan
toccata	toccata
tod	tod
today	today
toddle	toddle
toddler	toddler
toddy	toddy
toe	toe
toecap	toecap
TOEFL	TOEFL
toehold	toehold
toenail	toenail
toerag	toerag
toff	toff
toffee	toffee
tofu	tofu
tog	tog
toga	toga
together	together
togetherness	togetherness
toggle	toggle
toil	toil
toilet	toilet
toiletries	toiletries
toils	toils
toing	toing
token	token
tokenism	tokenism
told	told
tolerable	tolerable
tolerance	tolerance
tolerant	tolerant
tolerate	tolerate
toleration	toleration
toll	toll
tollbooth	tollbooth
Tom	Tom
tom	tom
tomahawk	tomahawk
tomato	tomato
tomb	tomb
tombola	tombola
tomboy	tomboy
tombstone	tombstone
tomcat	tomcat
tome	tome
tomfoolery	tomfoolery
tomorrow	tomorrow
ton	ton
tonal	tonal
tonality	tonality
tone	tone
toneless	toneless
toner	toner
tongs	tongs
tongue	tongue
tonic	tonic
tonight	tonight
tonnage	tonnage
tonne	tonne
tonsil	tonsil
tonsillitis	tonsillitis
tonsure	tonsure
tony	tony
too	too
took	took
tool	tool
tooled	tooled
toot	toot
tooth	tooth
toothache	toothache
toothbrush	toothbrush
toothed	toothed
toothless	toothless
toothpaste	toothpaste
toothpick	toothpick
toothsome	toothsome
toothy	toothy
tootle	tootle
top	top
topaz	topaz
topcoat	topcoat
topee	topee
topi	topi
topiary	topiary
topic	topic
topical	topical
topknot	topknot
topless	topless
topmost	topmost
topography	topography
topper	topper
topping	topping
topple	topple
topside	topside
topsoil	topsoil
topspin	topspin
tor	tor
Torah	Torah
torch	torch
torchlight	torchlight
tore	tore
toreador	toreador
torment	torment
tormentor	tormentor
torn	torn
tornado	tornado
torpedo	torpedo
torpid	torpid
torpor	torpor
torque	torque
torrent	torrent
torrential	torrential
torrid	torrid
torsion	torsion
torso	torso
tort	tort
torte	torte
tortilla	tortilla
tortoise	tortoise
tortoiseshell	tortoiseshell
tortuous	tortuous
torture	torture
tortured	tortured
Tory	Tory
tosh	tosh
toss	toss
tosser	tosser
tot	tot
total	total
totalitarian	totalitarian
totality	totality
totally	totally
tote	tote
totem	totem
toto	toto
totter	totter
totty	totty
toucan	toucan
touch	touch
touchdown	touchdown
touche	touche
touched	touched
touching	touching
touchline	touchline
touchpaper	touchpaper
touchstone	touchstone
touchy	touchy
tough	tough
toughen	toughen
toupee	toupee
tour	tour
tourism	tourism
tourist	tourist
touristy	touristy
tournament	tournament
tourney	tourney
tourniquet	tourniquet
tousle	tousle
tout	tout
tow	tow
towards	towards
towel	towel
towelling	towelling
tower	tower
towering	towering
town	town
townee	townee
townie	townie
townscape	townscape
township	township
townspeople	townspeople
towpath	towpath
toxaemia	toxaemia
toxic	toxic
toxicity	toxicity
toxicology	toxicology
toxin	toxin
toy	toy
toyboy	toyboy
trace	trace
traceable	traceable
tracer	tracer
tracery	tracery
trachea	trachea
tracheotomy	tracheotomy
tracing	tracing
track	track
tracker	tracker
tracksuit	tracksuit
tract	tract
tractable	tractable
traction	traction
tractor	tractor
trad	trad
tradable	tradable
trade	trade
tradeable	tradeable
trademark	trademark
trader	trader
tradesman	tradesman
tradespeople	tradespeople
trading	trading
tradition	tradition
traditional	traditional
traditionalism	traditionalism
traditionalist	traditionalist
traduce	traduce
traffic	traffic
tragedian	tragedian
tragedy	tragedy
tragic	tragic
tragicomedy	tragicomedy
trail	trail
trailblazer	trailblazer
trailer	trailer
train	train
trainee	trainee
trainer	trainer
training	training
trainman	trainman
trainspotter	trainspotter
traipse	traipse
trait	trait
traitor	traitor
traitorous	traitorous
trajectory	trajectory
tram	tram
tramcar	tramcar
tramlines	tramlines
trammel	trammel
tramp	tramp
trample	trample
trampoline	trampoline
tramway	tramway
trance	trance
tranche	tranche
tranquil	tranquil
tranquillize	tranquillize
tranquillizer	tranquillizer
transact	transact
transaction	transaction
transatlantic	transatlantic
transceiver	transceiver
transcend	transcend
transcendent	transcendent
transcendental	transcendental
transcontinental	transcontinental
transcribe	transcribe
transcript	transcript
transcription	transcription
transducer	transducer
transept	transept
transfer	transfer
transferable	transferable
transference	transference
transfigure	transfigure
transfix	transfix
transformation	transformation
transformer	transformer
transfusion	transfusion
transgenic	transgenic
transgress	transgress
transient	transient
transistor	transistor
transit	transit
transition	transition
transitive	transitive
transitory	transitory
translate	translate
translation	translation
translator	translator
transliterate	transliterate
translucent	translucent
transmigration	transmigration
transmission	transmission
transmit	transmit
transmitter	transmitter
transmogrify	transmogrify
transmute	transmute
transnational	transnational
transom	transom
transparency	transparency
transparent	transparent
transpire	transpire
transplant	transplant
transponder	transponder
transport	transport
transportable	transportable
transportation	transportation
transporter	transporter
transpose	transpose
transsexual	transsexual
transubstantiation	transubstantiation
transverse	transverse
transvestite	transvestite
trap	trap
trapdoor	trapdoor
trapeze	trapeze
trapezium	trapezium
trapezoid	trapezoid
trapper	trapper
trappings	trappings
trash	trash
trashy	trashy
trauma	trauma
traumatic	traumatic
traumatize	traumatize
travail	travail
travel	travel
travelled	travelled
traveller	traveller
travelling	travelling
travelogue	travelogue
traverse	traverse
travesty	travesty
trawl	trawl
trawler	trawler
tray	tray
treacherous	treacherous
treachery	treachery
treacle	treacle
treacly	treacly
tread	tread
treadle	treadle
treadmill	treadmill
treason	treason
treasure	treasure
treasurer	treasurer
treasury	treasury
treat	treat
treatise	treatise
treatment	treatment
treaty	treaty
treble	treble
tree	tree
treeless	treeless
treeline	treeline
treetop	treetop
trefoil	trefoil
trek	trek
trellis	trellis
tremble	tremble
trembly	trembly
tremendous	tremendous
tremolo	tremolo
tremor	tremor
tremulous	tremulous
trench	trench
trenchant	trenchant
trencher	trencher
trend	trend
trendsetter	trendsetter
trendy	trendy
trepidation	trepidation
trespass	trespass
trespasser	trespasser
tresses	tresses
trestle	trestle
trews	trews
triad	triad
triage	triage
trial	trial
triangle	triangle
triangular	triangular
triangulation	triangulation
triathlon	triathlon
tribal	tribal
tribalism	tribalism
tribe	tribe
tribesman	tribesman
tribulation	tribulation
tribunal	tribunal
tribune	tribune
tributary	tributary
tribute	tribute
trice	trice
triceps	triceps
trick	trick
trickery	trickery
trickle	trickle
trickster	trickster
tricksy	tricksy
tricky	tricky
tricolour	tricolour
tricycle	tricycle
trident	trident
tried	tried
triennial	triennial
trier	trier
trifle	trifle
trifling	trifling
trigger	trigger
trigonometry	trigonometry
trike	trike
trilby	trilby
trill	trill
trillion	trillion
trilobite	trilobite
trilogy	trilogy
trim	trim
trimaran	trimaran
trimester	trimester
trimmer	trimmer
trimming	trimming
trinity	trinity
trinket	trinket
trio	trio
trip	trip
tripartite	tripartite
tripe	tripe
triple	triple
triplet	triplet
triplicate	triplicate
tripod	tripod
tripper	tripper
triptych	triptych
tripwire	tripwire
trireme	trireme
trite	trite
triumph	triumph
triumphal	triumphal
triumphalism	triumphalism
triumphant	triumphant
triumvirate	triumvirate
trivet	trivet
trivia	trivia
trivial	trivial
triviality	triviality
trivialize	trivialize
trod	trod
trodden	trodden
troglodyte	troglodyte
troika	troika
Trojan	Trojan
troll	troll
trolley	trolley
trolleybus	trolleybus
trollop	trollop
trombone	trombone
trombonist	trombonist
tromp	tromp
troop	troop
trooper	trooper
troopship	troopship
trop	trop
trope	trope
trophy	trophy
tropic	tropic
tropical	tropical
troposphere	troposphere
trot	trot
troth	troth
Trotskyist	Trotskyist
trotter	trotter
troubadour	troubadour
trouble	trouble
troubled	troubled
troublemaker	troublemaker
troubleshooter	troubleshooter
troublesome	troublesome
trough	trough
trounce	trounce
troupe	troupe
trouper	trouper
trousers	trousers
trousseau	trousseau
trout	trout
trove	trove
trowel	trowel
truancy	truancy
truant	truant
truce	truce
truck	truck
trucker	trucker
truckload	truckload
truculent	truculent
trudge	trudge
true	true
truffle	truffle
trug	trug
truism	truism
truly	truly
trump	trump
trumpery	trumpery
trumpet	trumpet
trumpeter	trumpeter
truncate	truncate
truncheon	truncheon
trundle	trundle
trunk	trunk
trunks	trunks
truss	truss
trust	trust
trustee	trustee
trusteeship	trusteeship
trusting	trusting
trustworthy	trustworthy
trusty	trusty
truth	truth
truthful	truthful
try	try
trying	trying
tryst	tryst
tsar	tsar
tsarina	tsarina
tsarism	tsarism
tsp	tsp
tsunami	tsunami
tub	tub
tuba	tuba
tubby	tubby
tube	tube
tuber	tuber
tuberculosis	tuberculosis
tubing	tubing
tubular	tubular
TUC	TUC
tuck	tuck
tucker	tucker
Tuesday	Tuesday
tuft	tuft
tufted	tufted
tug	tug
tuition	tuition
tulip	tulip
tulle	tulle
tum	tum
tumble	tumble
tumbledown	tumbledown
tumbler	tumbler
tumbleweed	tumbleweed
tumbril	tumbril
tumescent	tumescent
tummy	tummy
tumour	tumour
tumult	tumult
tumultuous	tumultuous
tumulus	tumulus
tun	tun
tuna	tuna
tundra	tundra
tune	tune
tuneful	tuneful
tuneless	tuneless
tuner	tuner
tungsten	tungsten
tunic	tunic
tunnel	tunnel
tunny	tunny
tuppence	tuppence
tuppenny	tuppenny
turban	turban
turbid	turbid
turbine	turbine
turbo	turbo
turbocharger	turbocharger
turbojet	turbojet
turboprop	turboprop
turbos	turbos
turbot	turbot
turbulence	turbulence
turbulent	turbulent
turd	turd
ture	ture
tureen	tureen
turf	turf
turgid	turgid
turkey	turkey
turmeric	turmeric
turmoil	turmoil
turn	turn
turnabout	turnabout
turnaround	turnaround
turncoat	turncoat
turning	turning
turnip	turnip
turnkey	turnkey
turnout	turnout
turnover	turnover
turnpike	turnpike
turnround	turnround
turnstile	turnstile
turntable	turntable
turpentine	turpentine
turpitude	turpitude
turquoise	turquoise
turret	turret
turreted	turreted
turtle	turtle
turtleneck	turtleneck
turves	turves
tusk	tusk
tussle	tussle
tussock	tussock
tut	tut
tutelage	tutelage
tutor	tutor
tutorial	tutorial
tutu	tutu
tuxedo	tuxedo
TV	TV
twaddle	twaddle
twain	twain
twang	twang
twat	twat
tweak	tweak
twee	twee
tweed	tweed
tweedy	tweedy
tweet	tweet
tweeter	tweeter
tweezers	tweezers
twelve	twelve
twelvemonth	twelvemonth
twenty	twenty
twerp	twerp
twice	twice
twiddle	twiddle
twiddly	twiddly
twig	twig
twilight	twilight
twilit	twilit
twill	twill
twin	twin
twine	twine
twinge	twinge
twinkle	twinkle
twinkling	twinkling
twinset	twinset
twirl	twirl
twist	twist
twisted	twisted
twister	twister
twisty	twisty
twit	twit
twitch	twitch
twitchy	twitchy
twitter	twitter
twixt	twixt
two	two
twofold	twofold
twopence	twopence
twopenny	twopenny
twosome	twosome
tycoon	tycoon
tyke	tyke
type	type
typecast	typecast
typeface	typeface
typescript	typescript
typesetter	typesetter
typewriter	typewriter
typewriting	typewriting
typewritten	typewritten
typhoid	typhoid
typhoon	typhoon
typhus	typhus
typical	typical
typically	typically
typify	typify
typing	typing
typist	typist
typo	typo
typographer	typographer
typography	typography
typology	typology
tyrannical	tyrannical
tyrannize	tyrannize
tyranny	tyranny
tyrant	tyrant
tyre	tyre
tyro	tyro
tzar	tzar
tzarina	tzarina
tzarism	tzarism
U	U
ubiquitous	ubiquitous
UCAS	UCAS
UDA	UDA
udder	udder
UDR	UDR
UEFA	UEFA
UFO	UFO
ufology	ufology
ugh	ugh
Ugli	Ugli
ugly	ugly
uh	uh
UHF	UHF
UHT	UHT
UK	UK
ukulele	ukulele
ulcer	ulcer
ulcerate	ulcerate
ulna	ulna
ulterior	ulterior
ultimate	ultimate
ultimately	ultimately
ultimatum	ultimatum
ultramarine	ultramarine
ultrasonic	ultrasonic
ultrasound	ultrasound
ultraviolet	ultraviolet
ululate	ululate
um	um
umber	umber
umbrage	umbrage
umbrella	umbrella
umlaut	umlaut
umpire	umpire
umpteen	umpteen
UN	UN
unabashed	unabashed
unabated	unabated
unable	unable
unabridged	unabridged
unacceptable	unacceptable
unaccompanied	unaccompanied
unaccountable	unaccountable
unaccountably	unaccountably
unaccustomed	unaccustomed
unachievable	unachievable
unacknowledged	unacknowledged
unacquainted	unacquainted
unadorned	unadorned
unadulterated	unadulterated
unadventurous	unadventurous
unaffected	unaffected
unaffiliated	unaffiliated
unafraid	unafraid
unaided	unaided
unalloyed	unalloyed
unalterable	unalterable
unaltered	unaltered
unambiguous	unambiguous
unambitious	unambitious
unanimity	unanimity
unanimous	unanimous
unannounced	unannounced
unanswerable	unanswerable
unanswered	unanswered
unanticipated	unanticipated
unapologetic	unapologetic
unappealing	unappealing
unappetizing	unappetizing
unappreciated	unappreciated
unapproachable	unapproachable
unarguable	unarguable
unarmed	unarmed
unashamed	unashamed
unasked	unasked
unassailable	unassailable
unassisted	unassisted
unassuming	unassuming
unattached	unattached
unattainable	unattainable
unattended	unattended
unattractive	unattractive
unauthorized	unauthorized
unavailable	unavailable
unavailing	unavailing
unavoidable	unavoidable
unaware	unaware
unawares	unawares
unbalance	unbalance
unbalanced	unbalanced
unban	unban
unbearable	unbearable
unbeatable	unbeatable
unbeaten	unbeaten
unbecoming	unbecoming
unbeknown	unbeknown
unbelief	unbelief
unbelievable	unbelievable
unbeliever	unbeliever
unbelieving	unbelieving
unbend	unbend
unbending	unbending
unbiased	unbiased
unbiassed	unbiassed
unbidden	unbidden
unbleached	unbleached
unblemished	unblemished
unblinking	unblinking
unblock	unblock
unborn	unborn
unbounded	unbounded
unbowed	unbowed
unbreakable	unbreakable
unbridgeable	unbridgeable
unbridled	unbridled
unbroken	unbroken
unbuckle	unbuckle
unburden	unburden
unbutton	unbutton
unbuttoned	unbuttoned
uncanny	uncanny
uncaring	uncaring
unceasing	unceasing
uncensored	uncensored
unceremonious	unceremonious
unceremoniously	unceremoniously
uncertain	uncertain
uncertainly	uncertainly
uncertainty	uncertainty
unchallengeable	unchallengeable
unchallenged	unchallenged
unchangeable	unchangeable
unchanged	unchanged
unchanging	unchanging
uncharacteristic	uncharacteristic
uncharitable	uncharitable
uncharted	uncharted
unchecked	unchecked
unchristian	unchristian
uncivil	uncivil
uncivilized	uncivilized
unclaimed	unclaimed
unclassified	unclassified
uncle	uncle
unclean	unclean
unclear	unclear
unclothed	unclothed
uncluttered	uncluttered
uncoil	uncoil
uncoloured	uncoloured
uncombed	uncombed
uncomfortable	uncomfortable
uncomfortably	uncomfortably
uncommitted	uncommitted
uncommon	uncommon
uncommonly	uncommonly
uncommunicative	uncommunicative
uncompetitive	uncompetitive
uncomplaining	uncomplaining
uncompleted	uncompleted
uncomplicated	uncomplicated
uncomplimentary	uncomplimentary
uncomprehending	uncomprehending
uncompromising	uncompromising
unconcealed	unconcealed
unconcern	unconcern
unconcerned	unconcerned
unconditional	unconditional
unconditioned	unconditioned
unconfirmed	unconfirmed
uncongenial	uncongenial
unconnected	unconnected
unconscionable	unconscionable
unconscious	unconscious
unconsciously	unconsciously
unconsciousness	unconsciousness
unconsidered	unconsidered
unconstitutional	unconstitutional
uncontaminated	uncontaminated
uncontentious	uncontentious
uncontested	uncontested
uncontrollable	uncontrollable
uncontrolled	uncontrolled
uncontroversial	uncontroversial
unconventional	unconventional
unconvinced	unconvinced
unconvincing	unconvincing
uncooked	uncooked
uncool	uncool
uncooperative	uncooperative
uncoordinated	uncoordinated
uncork	uncork
uncorroborated	uncorroborated
uncountable	uncountable
uncouple	uncouple
uncouth	uncouth
uncover	uncover
uncovered	uncovered
uncritical	uncritical
uncrowded	uncrowded
uncrowned	uncrowned
unctuous	unctuous
uncultivated	uncultivated
uncurl	uncurl
uncut	uncut
undamaged	undamaged
undated	undated
undaunted	undaunted
undecided	undecided
undeclared	undeclared
undefeated	undefeated
undefended	undefended
undefined	undefined
undemanding	undemanding
undemocratic	undemocratic
undemonstrative	undemonstrative
undeniable	undeniable
under	under
underachieve	underachieve
underarm	underarm
underbelly	underbelly
underbid	underbid
underbrush	underbrush
undercarriage	undercarriage
undercharge	undercharge
underclass	underclass
underclassman	underclassman
underclothes	underclothes
undercoat	undercoat
undercover	undercover
undercurrent	undercurrent
undercut	undercut
underdeveloped	underdeveloped
underdog	underdog
underdone	underdone
underemployed	underemployed
underestimate	underestimate
underexpose	underexpose
underfed	underfed
underfloor	underfloor
underfoot	underfoot
underfunded	underfunded
undergarment	undergarment
undergo	undergo
undergraduate	undergraduate
underground	underground
undergrowth	undergrowth
underhand	underhand
